Date,沪深300,中国平安
2015-06-23,0.03214,0.0496
2015-06-24,0.01965,0.0052
2015-06-25,-0.03557,-0.0287
2015-06-26,-0.07868,-0.0605
2015-06-29,-0.03336,-0.0119
2015-06-30,0.06715,0.0708
2015-07-01,-0.04918,-0.04
2015-07-02,-0.0341,-0.0108
2015-07-03,-0.05406,-0.0428
2015-07-06,0.02898,0.0501
2015-07-07,-0.01764,0.1
2015-07-08,-0.06746,-0.0996
2015-07-09,0.06404,0.038
2015-07-10,0.0536,0.0223
2015-07-13,0.02563,-0.019
2015-07-14,-0.02366,-0.0248
2015-07-15,-0.03536,0.0051
2015-07-16,0.00771,-0.0071
2015-07-17,0.03856,0.0254
2015-07-20,0.0022,0.0078
2015-07-21,0.0013,-0.0067
2015-07-22,-0.00212,-0.0161
2015-07-23,0.02253,0.0419
2015-07-24,-0.01753,-0.0236
2015-07-27,-0.08561,-0.0874
2015-07-28,-0.002,-0.0399
2015-07-29,0.0313,-0.0046
2015-07-30,-0.02925,-0.018
2015-07-31,0.00034,-0.0274
2015-08-03,0.00328,-0.0003
2015-08-04,0.03106,0.0255
2015-08-05,-0.02058,-0.0269
2015-08-06,-0.00906,-0.012
2015-08-07,0.0196,0.0304
2015-08-10,0.04541,0.0354
2015-08-11,-0.00433,-0.0063
2015-08-12,-0.01243,-0.031
2015-08-13,0.01477,0.0083
2015-08-14,-0.00047,-0.0053
2015-08-17,0.00106,-0.0271
2015-08-18,-0.06191,-0.051
2015-08-19,0.01587,0.0038
2015-08-20,-0.03208,-0.0274
2015-08-21,-0.04571,-0.038
2015-08-24,-0.08748,-0.1
2015-08-25,-0.07101,-0.0507
2015-08-26,-0.00566,0.0498
2015-08-27,0.05947,0.1002
2015-08-28,0.04263,0.0224
2015-08-31,0.00726,0.0216
2015-09-01,-0.00132,-0.0043
2015-09-02,0.00112,-0.006
2015-09-07,-0.03427,-0.0367
2015-09-08,0.0257,0.0305
2015-09-09,0.01958,0.0216
2015-09-10,-0.01228,0.0017
2015-09-11,-0.00309,-0.0142
2015-09-14,-0.01973,0.0101
2015-09-15,-0.03929,-0.0226
2015-09-16,0.04981,0.037
2015-09-17,-0.02183,-0.0095
2015-09-18,0.00441,0.0102
2015-09-21,0.01752,0.0128
2015-09-22,0.0093,0.0262
2015-09-23,-0.02276,-0.0315
2015-09-24,0.00673,0.012
2015-09-25,-0.01615,0.0029
2015-09-28,0.00334,-0.0106
2015-09-29,-0.0197,-0.0314
2015-09-30,0.00758,-0.0023
2015-10-08,0.0292,0.0281
2015-10-09,0.01324,0.0319
2015-10-12,0.03221,0.0303
2015-10-13,-0.00077,-0.0135
2015-10-14,-0.0113,-0.0161
2015-10-15,0.02369,0.0246
2015-10-16,0.01355,0.0102
2015-10-19,3e-05,0.0116
2015-10-20,0.01231,-0.0078
2015-10-21,-0.02919,-0.0018
2015-10-22,0.01476,0.0003
2015-10-23,0.01325,0.0265
2015-10-26,0.00505,-0.0047
2015-10-27,0.00101,0.0238
2015-10-28,-0.01891,-0.0239
2015-10-29,0.00238,-0.0051
2015-10-30,0.00022,0.0033
2015-11-02,-0.01644,-0.014
2015-11-03,-0.00301,0.0
2015-11-04,0.04705,0.06
2015-11-05,0.02134,0.0091
2015-11-06,0.02358,0.0246
2015-11-09,0.01239,0.0072
2015-11-10,-0.00185,-0.0055
2015-11-11,0.00011,-0.0113
2015-11-12,-0.01,-0.0114
2015-11-13,-0.01293,-0.0107
2015-11-16,0.00477,0.002
2015-11-17,-0.00152,0.004
2015-11-18,-0.01139,-0.0108
2015-11-19,0.01598,0.0123
2015-11-20,-0.00016,-0.0076
2015-11-23,-0.00558,-0.002
2015-11-24,0.00015,0.0
2015-11-25,0.00738,0.002
2015-11-26,-0.00586,-0.0003
2015-11-27,-0.05385,-0.034
2015-11-30,0.00265,-0.0012
2015-12-01,0.00709,0.0095
2015-12-02,0.03627,0.0554
2015-12-03,0.00735,-0.0011
2015-12-04,-0.01913,-0.0284
2015-12-07,0.00272,-0.006
2015-12-08,-0.01751,-0.0092
2015-12-09,0.00357,0.0006
2015-12-10,-0.00354,0.0015
2015-12-11,-0.00415,0.0023
2015-12-14,0.02862,0.0304
2015-12-15,-0.00456,-0.0101
2015-12-16,-0.00242,-0.0014
2015-12-17,0.01912,0.0085
2015-12-18,0.0032,0.0079
2015-12-21,0.02602,0.031
2015-12-22,0.00279,0.0008
2015-12-23,-0.00267,0.0014
2015-12-24,-0.00956,-0.0016
2015-12-25,0.0023,-0.0005
2015-12-28,-0.02881,-0.0325
2015-12-29,0.00919,0.0126
2015-12-30,0.00088,-0.0108
2015-12-31,-0.00908,0.0067
2016-01-04,-0.07021,-0.0542
2016-01-05,0.0028,0.0132
2016-01-06,0.01754,0.0009
2016-01-07,-0.06933,-0.022
2016-01-08,0.02039,0.005
2016-01-11,-0.05031,-0.0563
2016-01-12,0.00729,0.0056
2016-01-13,-0.01861,-0.0068
2016-01-14,0.02082,0.0
2016-01-15,-0.03192,-0.0247
2016-01-18,0.00385,-0.0042
2016-01-19,0.02951,0.0142
2016-01-20,-0.01512,-0.0311
2016-01-21,-0.02931,-0.0124
2016-01-22,0.01042,0.0023
2016-01-25,0.00495,0.0013
2016-01-26,-0.06021,-0.034
2016-01-27,-0.00345,-0.0003
2016-01-28,-0.02614,0.0027
2016-01-29,0.03236,0.03
2016-02-01,-0.01529,-0.0215
2016-02-02,0.02078,0.0149
2016-02-03,-0.00429,-0.011
2016-02-04,0.01225,0.0024
2016-02-05,-0.00703,-0.0017
2016-02-15,-0.00576,-0.0078
2016-02-16,0.03065,0.0234
2016-02-17,0.00865,-0.0027
2016-02-18,-0.00314,-0.0043
2016-02-19,-0.00069,0.0003
2016-02-22,0.02205,0.0351
2016-02-23,-0.00946,-0.0152
2016-02-24,0.00653,-0.003
2016-02-25,-0.06136,-0.0477
2016-02-26,0.01003,0.0048
2016-02-29,-0.02394,-0.0031
2016-03-01,0.0185,0.0086
2016-03-02,0.04116,0.0314
2016-03-03,0.00232,0.0066
2016-03-04,0.0116,0.0385
2016-03-07,0.00354,-0.0158
2016-03-08,0.00091,0.0081
2016-03-09,-0.01151,0.0026
2016-03-10,-0.01913,-0.0204
2016-03-11,0.00171,0.0098
2016-03-14,0.01571,0.0023
2016-03-15,0.00297,0.008
2016-03-16,0.00496,0.0246
2016-03-17,0.01106,-0.004
2016-03-18,0.01529,0.0038
2016-03-21,0.02442,0.0221
2016-03-22,-0.00728,-0.0222
2016-03-23,0.00319,0.005
2016-03-24,-0.01676,-0.0143
2016-03-25,0.00502,0.0082
2016-03-28,-0.00878,-0.0187
2016-03-29,-0.01083,-0.0067
2016-03-30,0.02579,0.0237
2016-03-31,0.00056,-0.0056
2016-04-01,0.00118,0.0035
2016-04-05,0.01322,0.0025
2016-04-06,-0.00213,-0.0081
2016-04-07,-0.01481,-0.0117
2016-04-08,-0.00734,-0.0067
2016-04-11,0.01393,0.0112
2016-04-12,-0.00361,0.0013
2016-04-13,0.01334,0.0114
2016-04-14,0.00443,0.0034
2016-04-15,-0.00111,-0.0009
2016-04-18,-0.01337,-0.0063
2016-04-19,0.00305,0.0044
2016-04-20,-0.01769,0.0088
2016-04-21,-0.00642,0.0003
2016-04-22,0.00452,0.0062
2016-04-25,-0.00405,-0.0031
2016-04-26,0.00542,0.0022
2016-04-27,-0.00417,-0.004
2016-04-28,-0.00169,-0.0022
2016-04-29,-0.00121,-0.0047
2016-05-03,0.01799,-0.0041
2016-05-04,-0.00127,0.0006
2016-05-05,0.00139,0.0006
2016-05-06,-0.026,-0.0172
2016-05-09,-0.02068,-0.0076
2016-05-10,0.00114,0.001
2016-05-11,0.00446,0.0019
2016-05-12,0.00238,0.0147
2016-05-13,-0.00492,0.0003
2016-05-16,0.00663,-0.0035
2016-05-17,-0.003,-0.0032
2016-05-18,-0.00583,0.0095
2016-05-19,-0.0018,0.0006
2016-05-20,0.00513,-0.0003
2016-05-23,0.00293,0.0003
2016-05-24,-0.00767,-0.006
2016-05-25,-0.00141,-0.0009
2016-05-26,0.00163,0.0006
2016-05-27,-0.00056,-0.0009
2016-05-30,0.00138,0.0098
2016-05-31,0.03354,0.0254
2016-06-01,-0.00284,-0.0131
2016-06-02,0.00207,-0.0025
2016-06-03,0.00702,0.004
2016-06-06,-0.0033,-0.0071
2016-06-07,-0.00055,0.0009
2016-06-08,-0.00411,0.0003
2016-06-13,-0.03086,-0.0109
2016-06-14,0.00314,0.0057
2016-06-15,0.01313,0.0
2016-06-16,-0.00696,-0.0003
2016-06-17,0.00507,0.0003
2016-06-20,0.00074,0.0044
2016-06-21,-0.00204,-0.0019
2016-06-22,0.0089,0.0006
2016-06-23,-0.00531,-0.0025
2016-06-24,-0.01288,-0.0141
2016-06-27,0.0141,0.0041
2016-06-28,0.00508,0.0054
2016-06-29,0.00478,0.0097
2016-06-30,0.0008,-0.0037
2016-07-01,9e-05,0.0044
2016-07-04,0.01601,0.0081
2016-07-05,0.00084,-0.0006
2016-07-06,0.00294,-0.0025
2016-07-07,-0.00213,-0.0013
2016-07-08,-0.00551,-0.0053
2016-07-11,0.00346,0.0003
2016-07-12,0.02181,0.0195
2016-07-13,0.00296,0.0015
2016-07-14,-0.00186,0.0009
2016-07-15,-0.00015,0.0031
2016-07-18,-0.00435,0.0031
2016-07-19,-0.00423,-0.0095
2016-07-20,-0.00327,-0.0022
2016-07-21,0.00461,0.0074
2016-07-22,-0.00841,-0.0077
2016-07-25,0.00177,0.0
2016-07-26,0.01198,0.0068
2016-07-27,-0.0157,0.0083
2016-07-28,0.0009,-0.0104
2016-07-29,-0.00534,-0.0025
2016-08-01,-0.00846,-0.0028
2016-08-02,0.00385,0.0
2016-08-03,0.0014,-0.0031
2016-08-04,0.00244,-0.0009
2016-08-05,0.00119,0.0009
2016-08-08,0.00907,0.0028
2016-08-09,0.00705,0.0084
2016-08-10,-0.00419,0.0
2016-08-11,-0.00308,0.0077
2016-08-12,0.01883,0.021
2016-08-15,0.03011,0.0323
2016-08-16,-0.00447,-0.0185
2016-08-17,-0.00154,0.0015
2016-08-18,-0.00254,0.0135
2016-08-19,0.00016,0.0026
2016-08-22,-0.00839,-0.0017
2016-08-23,0.00151,0.011
2016-08-24,-0.00358,-0.0146
2016-08-25,-0.00627,-0.007
2016-08-26,-0.00057,0.0
2016-08-29,0.00021,0.005
2016-08-30,0.00127,-0.0015
2016-08-31,0.00477,0.0003
2016-09-01,-0.00788,0.0044
2016-09-02,0.0038,0.0143
2016-09-05,0.00168,0.0029
2016-09-06,0.00691,0.0109
2016-09-07,-0.00054,0.002
2016-09-08,-0.00038,0.0048
2016-09-09,-0.00644,0.0023
2016-09-12,-0.01671,-0.0096
2016-09-13,-0.0007,-0.0114
2016-09-14,-0.00663,-0.0121
2016-09-19,0.00753,0.0195
2016-09-20,-0.00175,-0.0034
2016-09-21,0.00283,-0.0052
2016-09-22,0.0075,0.0098
2016-09-23,-0.0047,-0.0034
2016-09-26,-0.01691,-0.0146
2016-09-27,0.00636,-0.0006
2016-09-28,-0.00304,-0.0064
2016-09-29,0.00418,0.0015
2016-09-30,0.00274,-0.0009
2016-10-10,0.01247,0.0129
2016-10-11,0.00385,-0.0064
2016-10-12,-0.00198,-0.0023
2016-10-13,0.0008,-0.0052
2016-10-14,0.00097,-0.0003
2016-10-17,-0.00846,-0.005
2016-10-18,0.01326,0.0077
2016-10-19,-0.00153,-0.0023
2016-10-20,0.00071,0.0006
2016-10-21,0.00275,0.0023
2016-10-24,0.01197,0.0079
2016-10-25,-4e-05,0.0017
2016-10-26,-0.00376,-0.0038
2016-10-27,-0.00271,-0.0067
2016-10-28,-0.00166,0.0099
2016-10-31,-0.00115,0.0023
2016-11-01,0.00683,0.013
2016-11-02,-0.00765,-0.0128
2016-11-03,0.00952,0.0104
2016-11-04,-0.00324,-0.0011
2016-11-07,0.00072,0.0017
2016-11-08,0.00433,0.0003
2016-11-09,-0.00536,-0.0083
2016-11-10,0.0112,0.0066
2016-11-11,0.00785,0.0014
2016-11-14,0.00381,-0.0011
2016-11-15,-0.00011,0.0003
2016-11-16,-8e-05,0.0017
2016-11-17,0.00202,-0.0006
2016-11-18,-0.00555,0.0003
2016-11-21,0.00692,0.0254
2016-11-22,0.00792,0.0061
2016-11-23,0.00184,-0.0039
2016-11-24,0.00403,0.0122
2016-11-25,0.00933,0.0099
2016-11-28,0.00391,-0.0046
2016-11-29,0.00819,0.0044
2016-11-30,-0.00731,-0.012
2016-12-01,0.00764,0.0025
2016-12-02,-0.01012,-0.0041
2016-12-05,-0.01687,-0.0003
2016-12-06,-0.00296,-0.0025
2016-12-07,0.0048,0.008
2016-12-08,-0.00161,0.0011
2016-12-09,0.00679,0.0099
2016-12-12,-0.02419,0.0011
2016-12-13,-0.00122,-0.0068
2016-12-14,-0.00766,0.0104
2016-12-15,-0.0114,-0.0386
2016-12-16,0.00168,-0.0034
2016-12-19,-0.00509,-0.0023
2016-12-20,-0.00598,-0.0209
2016-12-21,0.00891,0.0023
2016-12-22,-0.00086,0.0009
2016-12-23,-0.00842,-0.0012
2016-12-26,0.00448,0.0112
2016-12-27,-0.00181,0.004
2016-12-28,-0.00437,0.0009
2016-12-29,-0.00125,-0.0045
2016-12-30,0.00373,0.0085
2017-01-03,0.00971,0.0071
2017-01-04,0.0078,-0.0008
2017-01-05,-0.00016,0.0022
2017-01-06,-0.00597,-0.0081
2017-01-09,0.00485,-0.0006
2017-01-10,-0.00167,-0.0054
2017-01-11,-0.00708,0.0
2017-01-12,-0.00506,-0.0006
2017-01-13,0.00069,0.0099
2017-01-16,-0.00014,0.0177
2017-01-17,0.00208,-0.0058
2017-01-18,0.00391,0.0064
2017-01-19,-0.00302,-0.0044
2017-01-20,0.00769,0.0058
2017-01-23,0.00274,-0.0017
2017-01-24,0.00011,-0.0006
2017-01-25,0.0034,0.0069
2017-01-26,0.00357,0.0022
2017-02-03,-0.00693,-0.0244
2017-02-06,0.00259,0.009
2017-02-07,-0.00223,0.0033
2017-02-08,0.00523,-0.0011
2017-02-09,0.00384,0.0025
2017-02-10,0.00506,0.0025
2017-02-13,0.00668,0.003
2017-02-14,-0.00014,-0.0058
2017-02-15,-0.0041,0.0061
2017-02-16,0.00562,-0.0006
2017-02-17,-0.00566,-0.0011
2017-02-20,0.0146,0.0154
2017-02-21,0.00329,-0.0014
2017-02-22,0.00199,0.0014
2017-02-23,-0.00471,-0.0081
2017-02-24,0.00015,0.0011
2017-02-27,-0.00795,-0.0066
2017-02-28,0.00191,-0.0025
2017-03-01,0.00163,-0.0019
2017-03-02,-0.00675,-0.0083
2017-03-03,-0.00211,-0.0003
2017-03-06,0.00543,-0.0006
2017-03-07,0.00217,0.0036
2017-03-08,-0.00151,-0.0039
2017-03-09,-0.00632,-0.0011
2017-03-10,0.00028,-0.005
2017-03-13,0.00881,0.0104
2017-03-14,-0.00041,-0.0008
2017-03-15,0.00201,0.0006
2017-03-16,0.00516,0.0031
2017-03-17,-0.01025,-0.0089
2017-03-20,0.00111,0.0022
2017-03-21,0.00485,0.0123
2017-03-22,-0.0047,-0.0074
2017-03-23,0.00346,0.0158
2017-03-24,0.00798,-0.0005
2017-03-27,-0.00331,0.0052
2017-03-28,-0.00237,-0.0003
2017-03-29,-0.00133,0.0014
2017-03-30,-0.00821,-0.0008
2017-03-31,0.00561,0.0071
2017-04-05,0.01384,0.0024
2017-04-06,0.0029,-0.0038
2017-04-07,0.00097,-0.0097
2017-04-10,-0.0035,-0.0041
2017-04-11,0.00348,-0.0071
2017-04-12,-0.00224,-0.005
2017-04-13,0.00146,-0.0031
2017-04-14,-0.00798,-0.0003
2017-04-17,-0.00188,0.0036
2017-04-18,-0.00494,-0.0089
2017-04-19,-0.00487,-0.0053
2017-04-20,0.00455,0.0082
2017-04-21,0.00151,0.0081
2017-04-24,-0.01025,0.0022
2017-04-25,0.00283,0.0086
2017-04-26,0.00122,0.0282
2017-04-27,0.00045,0.0083
2017-04-28,-0.00202,0.0037
2017-05-02,-0.00383,-0.0013
2017-05-03,-0.00392,0.0024
2017-05-04,-0.00256,-0.0047
2017-05-05,-0.00641,-0.0148
2017-05-08,-0.00702,0.0142
2017-05-09,-0.00187,0.0053
2017-05-10,-0.00442,0.0487
2017-05-11,0.00568,-0.0018
2017-05-12,0.00856,0.0297
2017-05-15,0.00408,-0.0012
2017-05-16,0.00867,0.0046
2017-05-17,-0.00545,-0.0163
2017-05-18,-0.00348,0.0049
2017-05-19,0.00169,0.0096
2017-05-22,0.00217,0.0446
2017-05-23,0.0038,0.0077
2017-05-24,-1e-05,-0.0032
2017-05-25,0.01796,0.0572
2017-05-26,-0.0015,-0.0068
2017-05-31,0.00358,-0.0024
2017-06-01,0.00139,0.02
2017-06-02,-0.00321,-0.022
2017-06-05,-0.00509,-0.0065
2017-06-06,0.00696,0.0304
2017-06-07,0.01174,-0.0011
2017-06-08,0.00767,0.0357
2017-06-09,0.00427,0.0109
2017-06-12,-0.0005,0.0164
2017-06-13,0.0022,-0.01
2017-06-14,-0.01311,-0.0254
2017-06-15,-0.00184,-0.0218
2017-06-16,-0.00284,0.0113
2017-06-19,0.00992,0.0398
2017-06-20,-0.00202,-0.0095
2017-06-21,0.01169,0.0277
2017-06-22,0.00067,-0.0059
2017-06-23,0.00906,0.0118
